,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1421,CHEMBL325546,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(=O)N(CCO)CCO)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccc2)C(=O)N(CCO)CCO)SC1(C)C,active,530.0650000000004,2.8340400000000012,4.0,5.0,6.075720713938118
1422,CHEMBL319641,CCNC(=O)[C@@H](N)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](N)C(=O)NCC)SC2(C)C)C(C)(C)S1,active,598.0620000000002,3.8528400000000027,4.0,5.0,3.9208187539523753
1423,,,,580.1250000000001,3.9872400000000026,4.0,5.0,
1424,CHEMBL67968,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC(=O)CCC(=O)NC(C)(C)C,active,537.6820000000002,5.645200000000004,2.0,7.0,5.0835460514500745
1425,CHEMBL217396,CN(C)c1ccc(CNC(=O)[C@@H](NC(=O)Cc2ccccc2)[C@@H]2N[C@@H](C(=O)NCCNC(=O)[C@@H]3N[C@@H]([C@H](NC(=O)Cc4ccccc4)C(=O)NCc4ccc(N(C)C)cc4)SC3(C)C)C(C)(C)S2)cc1,active,537.6820000000002,5.645200000000004,2.0,7.0,7.327902142064283
1426,CHEMBL104683,CCNC(=O)[C@@H](NC(=O)CC(C)C)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)CC(C)C)C(=O)NCC)SC2(C)C)C(C)(C)S1,active,537.6820000000002,5.645200000000004,2.0,7.0,8.060480747381382
1427,CHEMBL329269,CC(C)(C)NC(=O)c1ccccc1C#CC(O)Cc1ccccc1C(=O)NC(C)(C)C,active,529.7220000000001,3.659200000000002,3.0,6.0,3.6989700043360187
1429,,,,502.0110000000002,2.217199999999999,4.0,5.0,
1430,CHEMBL432787,CCNC(=O)[C@@H](NC(=O)Cc1ccccn1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)Cc3ccccn3)C(=O)NCC)SC2(C)C)C(C)(C)S1,active,515.0540000000002,2.4022200000000007,4.0,5.0,7.721246399047171
1431,CHEMBL115743,CCCC1(CCc2ccccc2)CC(=O)C(C(CC)c2cccc(NS(=O)(=O)c3ccccc3)c2)=C(O)O1,active,587.7420000000002,6.814480000000006,2.0,7.0,5.795880017344075
1432,,,,537.6820000000002,5.645200000000004,2.0,7.0,
1433,CHEMBL97512,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(F)cc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C,active,559.6880000000002,6.178380000000006,2.0,7.0,7.657577319177793
1434,CHEMBL106623,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(=O)OCc2ccccc2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccc2)C(=O)OCc2ccccc2)SC1(C)C,active,558.6750000000001,3.497200000000002,4.0,6.0,7.1249387366083
